Bill_ID,DateTime,Item,SKU,Quantity,Unit_Price,Total_Amount,Payment_Type
BILL00001,2024-03-17 23:39:00,Cold Brew,SKU006,2,200,400,Cash
BILL00002,2024-02-02 22:32:00,Caramel Macchiato,SKU004,4,220,880,Wallet
BILL00003,2024-02-11 12:42:00,Croissant,SKU009,3,120,360,Card
BILL00004,2024-02-10 20:46:00,Caffè Latte,SKU001,1,180,180,Cash
BILL00005,2024-03-16 12:56:00,Iced Americano,SKU007,4,160,640,Cash
BILL00006,2024-01-04 03:28:00,Caramel Macchiato,SKU004,4,220,880,Wallet
BILL00007,2024-02-17 05:46:00,Blueberry Muffin,SKU010,3,140,420,UPI
BILL00008,2024-03-04 03:21:00,Caffè Latte,SKU001,4,180,720,Card
BILL00009,2024-03-01 17:33:00,Caffè Latte,SKU001,3,180,540,Cash
BILL00010,2024-02-15 04:25:00,Mocha,SKU005,1,210,210,Card
BILL00011,2024-03-28 01:36:00,Cold Brew,SKU006,3,200,600,Cash
BILL00012,2024-01-14 13:36:00,Caramel Macchiato,SKU004,1,220,220,Wallet
BILL00013,2024-03-26 09:11:00,Cappuccino,SKU002,4,170,680,Card
BILL00014,2024-01-29 08:18:00,Blueberry Muffin,SKU010,2,140,280,Cash
BILL00015,2024-03-01 01:38:00,Caffè Latte,SKU001,2,180,360,Card
BILL00016,2024-02-23 19:29:00,Iced Americano,SKU007,4,160,640,UPI
BILL00017,2024-02-07 23:18:00,Caffè Latte,SKU001,3,180,540,Wallet
BILL00018,2024-01-14 00:43:00,Caffè Latte,SKU001,1,180,180,UPI
BILL00019,2024-02-15 07:23:00,Espresso,SKU003,2,150,300,Cash
BILL00020,2024-02-14 17:33:00,Iced Americano,SKU007,1,160,160,UPI
BILL00021,2024-02-03 00:17:00,Frappuccino,SKU008,4,250,1000,Wallet
BILL00022,2024-03-25 15:06:00,Croissant,SKU009,3,120,360,Card
BILL00023,2024-01-11 01:18:00,Frappuccino,SKU008,4,250,1000,Cash
